song_key,song,artist,entry_date,exit_date,days_on_playlist,peak_position,peak_date,entry_to_peak_days,reentry_count,avg_position,rank_volatility,retention_stability_index,entry_popularity,peak_popularity,exit_popularity,album_type,is_explicit,duration_ms,total_tracks
gitana (feat. bryartz) | pablo chill-e,Gitana (feat. Bryartz),Pablo Chill-E,2025-05-03,2025-06-17,45,15,2025-05-17,14,1,27.47,9.95,0.0913,77.0,82.0,77.0,album,True,221714,8
goteras | omar montes & jc reyes,Goteras,Omar Montes & JC Reyes,2025-06-30,2025-11-23,145,1,2025-07-08,8,2,12.8,12.2,0.0758,57.0,73.0,72.0,single,False,216450,1
gracias por nada | bad bunny,GRACIAS POR NADA,Bad Bunny,2024-10-14,2024-10-20,7,11,2024-10-14,0,0,28.43,13.25,0.0702,0.0,0.0,86.0,album,True,177450,22
gran día | mau y ricky & guaynaa,Gran Día,Mau y Ricky & Guaynaa,2025-05-16,2025-06-01,13,17,2025-05-31,15,2,37.92,10.19,0.0894,60.0,72.0,72.0,single,False,193840,1
gran vía | quevedo,GRAN VÍA,Quevedo,2025-11-24,2025-11-27,4,1,2025-11-24,0,0,1.0,0.0,1.0,66.0,66.0,72.0,album,False,213528,18
guay | ozuna & bad gyal,Guay,Ozuna & Bad Gyal,2025-04-21,2025-07-20,90,7,2025-04-27,6,1,21.58,9.88,0.0919,64.0,74.0,77.0,single,False,210788,1
hablame claro | yandel,HABLAME CLARO,Yandel,2025-10-13,2025-10-13,1,47,2025-10-13,0,0,47.0,0.0,1.0,45.0,45.0,45.0,album,True,154969,19
hablame claro | yandel & feid,Hablame Claro,Yandel & Feid,2025-09-16,2025-10-12,27,5,2025-09-25,9,0,23.63,14.7,0.0637,70.0,82.0,83.0,single,True,154969,1
hala madrid ...y nada más | real madrid,Hala Madrid ...y nada más,Real Madrid,2025-06-03,2025-06-03,1,43,2025-06-03,0,0,43.0,0.0,1.0,60.0,60.0,60.0,single,False,177000,1
halo | quevedo,HALO,Quevedo,2025-11-24,2025-11-27,4,7,2025-11-24,0,0,7.5,0.5,0.6667,63.0,63.0,69.0,album,False,181261,18
hardaway | duki,Hardaway,Duki,2025-11-03,2025-11-03,1,35,2025-11-03,0,0,35.0,0.0,1.0,62.0,62.0,62.0,album,True,216432,15
hasta olvidarte | mau y ricky,Hasta Olvidarte,Mau y Ricky,2025-06-03,2025-06-08,6,23,2025-06-04,1,0,29.17,3.72,0.2121,60.0,69.0,71.0,album,False,188862,15
hay lupita | lomiiel,HAY LUPITA,Lomiiel,2025-07-12,2025-10-29,103,2,2025-08-04,23,3,17.78,15.52,0.0605,77.0,84.0,80.0,single,False,105836,1
hay lupita | megan koffe,Hay Lupita,Megan Koffe,2025-06-28,2025-07-10,13,30,2025-07-08,10,0,35.08,4.08,0.1967,55.0,63.0,64.0,single,True,108855,1
haz lo que quieras conmigo | walls,haz lo que quieras conmigo,Walls,2025-09-22,2025-10-19,20,33,2025-09-22,0,2,44.15,4.53,0.1808,53.0,53.0,68.0,single,False,208603,1
